"Your question has been added","Ваш вопрос добавлен"
"ASK US A QUESTION:","ЗАДАЙТЕ НАМ ВОПРОС:"
"ask","спросить"
"Questions","Вопросы"
"Manage customers questions","Управление вопросами клиентов"
"Change status","Сменить статус"
"Answered","Отвечен"
"Not answered","Не отвечен"
"ID","ИД"
"Customer Name","Имя клиента"
"Customer Email","Email клиента"
"Status","Статус"
"Actions","Действия"
"Creation Date","Дата создания"
"Delete","Удалить"
"Any",""
"Yes","Да"
"No","Нет"
"Submit","Выполнить"
"Reset Filter","Сбросить фильтр"
"Add New","Добавить новый вопрос"
"Search","Поиск"
"From:","От:"
"To:","До:"
"Edit question #%s","Редактировать вопрос #%s"
"Question","Вопрос"
"Answer","Ответ"
"Save","Сохранить"
"Reset","Сбросить"
"Back","Назад"
"Question Details","Подробно о вопросе"
"Question not found","Вопрос не найден"
"Question successfully saved","Вопрос успешно сохранен"
"An error occured while saving question","Во время сохранения произошла ошибка"
"Question successfully deleted","Вопрос успешно удален"
"An error occured while deleting question","Во время удаления произошла ошибка"
"Are you sure you want to do this?","Вы уверены, что хотите это сделать?"
"No records found.","Записей не обнаружено"
"Are you sure?","Вы уверены?"
"Questions successfully deleted","Вопросы успешно удалены"
"Question #%s not found","Вопрос #%s не найден"
"An error occured while deleting questions","Во время удаления произошла ошибка"
"Questions statuses successfully updated","Статусы вопросов успешно обновлены"
"An error occured while changing statuses","Во время обновления статусов произошла ошибка"